#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  mu  mu) ,        BR_BaBar(B+->K+  a)*BR_BaBar(a->  mu  mu) ,  Allowed/excluded  (1/0) 

0.5692307692307693,298092.71595068043,4.37547937507418e-05,8.37988397872345e-10,2.1561072838161965e-08,1
0.5692307692307693,185875.92590825213,5.541020330009492e-05,1.3438981532949508e-09,1.3949855958907908e-08,1
0.5692307692307693,115903.06304394915,7.017038286703822e-05,2.155236016321758e-09,9.63276079051811e-09,1
0.5692307692307693,72271.43149881125,8.886238162743407e-05,3.456396621121214e-09,6.644232992620915e-09,1
0.5692307692307693,45064.893489788985,0.00011253355826007646,5.543101520164793e-09,4.787687732746015e-09,0
0.5692307692307693,28100.23397466147,0.00014251026703029977,8.889619186580814e-09,3.749067095830596e-09,0
0.5692307692307693,17521.9047503357,0.00018047217668271703,1.4256587515543722e-08,3.325745861214333e-09,0
0.5692307692307693,10925.776173212662,0.00022854638641349906,2.2863988755844796e-08,3.470274901892525e-09,0
0.5692307692307693,6812.751933545255,0.0002894266124716752,3.666870246252896e-08,4.299739682902756e-09,0
0.5692307692307693,4248.070087217421,0.0003665241237079626,5.8809969332534046e-08,6.961655958450563e-09,0
0.5692307692307693,2648.859782962169,0.00046415888336127773,9.432449453317259e-08,1.653655046181536e-08,0
0.5692307692307693,1651.6718513224139,0.0005878016072274912,1.512945001114788e-07,7.44116732578267e-08,0
0.5692307692307693,1029.877218047916,0.0007443803013251688,2.4269067492745223e-07,4.6840477605248385e-07,1
0.5692307692307693,642.1606322866679,0.0009426684551178855,3.8932990859215003e-07,6.337299554871027e-06,1
0.5692307692307693,400.404105056806,0.0011937766417144358,6.246207445924292e-07,897435.8974361424,1
0.5692307692307693,249.6608867047542,0.0015117750706156615,1.002175290853054e-06,897435.8974417273,1
0.5692307692307693,155.66842178658717,0.0019144819761699576,1.6080173978239488e-06,1000000.0,1
0.5692307692307693,97.06208691340538,0.0024244620170823282,2.5801614681702556e-06,1000000.0,1
0.5692307692307693,60.519992472928635,0.00307029062975785,4.140011762438493e-06,1000000.0,1
0.5692307692307693,37.73541521214544,0.003888155180308085,6.642719208963399e-06,1000000.0,1
0.5692307692307693,23.528870284428113,0.0049238826317067365,1.0657942057176142e-05,1000000.0,1
0.5692307692307693,14.670843472399179,0.006235507341273912,1.7099367472595135e-05,1000000.0,1
0.5692307692307693,9.147687510248078,0.007896522868499725,2.7432433908752435e-05,1000000.0,1
0.5692307692307693,5.703872039609001,0.01,4.400746761159893e-05,1000000.0,1
0.6230769230769231,514607751.4389008,1e-06,4.382551244653712e-13,1000000.0,1
0.6230769230769231,320884041.1932604,1.2663801734674021e-06,7.028379577471016e-13,1000000.0,1
0.6230769230769231,200087479.4517162,1.6037187437513308e-06,1.127154406907585e-12,1000000.0,1
0.6230769230769231,124764694.69772269,2.030917620904735e-06,1.8076386500976645e-12,1000000.0,1
0.6230769230769231,77797116.96786277,2.571913809059347e-06,2.898943986727168e-12,1000000.0,1
0.6230769230769231,48510449.39423845,3.257020655659783e-06,4.649090812792454e-12,1000000.0,1
0.6230769230769231,30248726.328577437,4.124626382901348e-06,7.4558340886165e-12,1000000.0,1
0.6230769230769231,18861615.50457272,5.223345074266844e-06,1.1957060905704869e-11,1000000.0,1
0.6230769230769231,11761174.190695403,6.6147406412301455e-06,1.9175762764996853e-11,1000000.0,1
0.6230769230769231,7333688.7968188105,8.376776400682924e-06,3.075253035195209e-11,1000000.0,1
0.6230769230769231,4572927.029144738,1.0608183551394482e-05,4.9318409804197874e-11,1000000.0,1
0.6230769230769231,2851452.0021662237,1.3433993325988988e-05,7.909285939838934e-11,1000000.0,1
0.6230769230769231,1778024.9852962794,1.7012542798525893e-05,1.268427041664879e-10,1000000.0,1
0.6230769230769231,1108688.7808413599,2.1544346900318823e-05,2.0342003012165582e-10,1000000.0,1
0.6230769230769231,691323.699057629,2.7283333764867696e-05,3.262285361210919e-10,4.380320031941292e-08,1
0.6230769230769231,431075.39569076616,3.455107294592218e-05,5.231788746580647e-10,2.6343474940712153e-08,1
0.6230769230769231,268797.3746895826,4.37547937507418e-05,8.390319247463259e-10,1.7986169109675038e-08,1
0.6230769230769231,167608.79494425454,5.541020330009492e-05,1.345571677466488e-09,1.1131577633635871e-08,1
0.6230769230769231,104512.58081020397,7.017038286703822e-05,2.157919880096584e-09,7.8256339259411e-09,1
0.6230769230769231,65168.88878021944,8.886238162743407e-05,3.460700789027533e-09,5.506768584895183e-09,1
0.6230769230769231,40636.09881289477,0.00011253355826007646,5.550004211702447e-09,4.119379468160598e-09,0
0.6230769230769231,25338.657123937806,0.00014251026703029977,8.900689216439278e-09,3.356245368508376e-09,0
0.6230769230769231,15799.923126292799,0.00018047217668271703,1.4274340902628962e-08,3.1803696379576025e-09,0
0.6230769230769231,9852.035272078923,0.00022854638641349906,2.2892460733934076e-08,3.6364349355431357e-09,0
0.6230769230769231,6143.222347489061,0.0002894266124716752,3.671436512121389e-08,5.054141990296795e-09,0
0.6230769230769231,3830.587015235188,0.0003665241237079626,5.888320398423385e-08,1.0302771025255928e-08,0
0.6230769230769231,2388.5406036649188,0.00046415888336127773,9.444195458267e-08,3.331085715196823e-08,0
0.6230769230769231,1489.3522513462715,0.0005878016072274912,1.5148290357081444e-07,2.2900186262683535e-07,1
0.6230769230769231,928.6650688679797,0.0007443803013251688,2.4299289191855867e-07,38461.53846274317,1
0.6230769230769231,579.0516942054888,0.0009426684551178855,3.898147320563419e-07,38461.538475109,1
0.6230769230769231,361.05401640096073,0.0011937766417144358,6.253985704191066e-07,1000000.0,1
0.6230769230769231,225.1252291685936,0.0015117750706156615,1.0034232769716628e-06,1000000.0,1
0.6230769230769231,140.36996184515365,0.0019144819761699576,1.6100198259018545e-06,1000000.0,1
0.6230769230769231,87.52321945016557,0.0024244620170823282,2.583374486420502e-06,1000000.0,1
0.6230769230769231,54.57233357169099,0.00307029062975785,4.145167229370903e-06,1000000.0,1
