#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  gamma  gamma) ,        BR_BaBar(B+->K+  a)*BR_BaBar(a->  gamma  gamma) ,  Allowed/excluded  (1/0) 

0.15108560153798137,593210160479185.0,3.792690190732254e-07,2.8099747949116854e-17,2.0046e-06,1
0.15108560153798137,41239543016813.96,1.438449888287663e-06,4.04200791958412e-16,2.0046e-06,1
0.15108560153798137,2866943320689.0527,5.455594781168514e-06,5.814225631884586e-15,2.0046e-06,1
0.15108560153798137,199307832774.47635,2.06913808111479e-05,8.363467949498955e-14,2.0046e-06,1
0.15108560153798137,13855734633.779758,7.847599703514623e-05,1.203029950335532e-12,2.0046e-06,1
0.15108560153798137,963233537.3052859,0.00029763514416313193,1.7296642892131734e-11,2.0046e-06,1
0.15108560153798137,66955802.706165425,0.0011288378916846883,2.4699461475860923e-10,2.0046e-06,1
0.15108560153798137,4653464.569934583,0.004281332398719396,3.4905189421874174e-09,2.0046e-06,1
0.15108560153798137,323448.34579482547,0.01623776739188724,4.9624209424715414e-08,2.0046e-06,1
0.15108560153798137,22484.490120747505,0.06158482110660267,7.108492480058926e-07,2.0046e-06,1
0.15108560153798137,8527.591486545307,0.1,1.8731015738128992e-06,2.0046e-06,1
0.15108560153798137,4121.30655520318,0.14384498882876628,3.87451719873266e-06,2.0046e-06,0
0.15108560153798137,1991.7923014759306,0.20691380811147897,8.01518834994152e-06,2.0046e-06,0
0.15108560153798137,1563.0775536640301,0.23357214690901212,1.0212980333868039e-05,2.0046e-06,0
0.15108560153798137,962.6171605248853,0.29763514416313175,1.6582040280045312e-05,2.0046e-06,0
0.15108560153798137,465.2254286426164,0.42813323987193935,3.4306934422178536e-05,2.0046e-06,0
0.15108560153798137,224.83995838937204,0.6158482110660264,7.098059773034043e-05,1.4704943480425411e-06,0
0.15108560153798137,108.66350064294028,0.8858667904100825,0.0001468611836754964,8.985653916540408e-07,0
0.15108560153798137,108.66350064294011,0.8858667904100832,0.00014686118367550197,8.9856539165404e-07,0
0.15108560153798137,52.51628397778098,1.2742749857031335,0.00030386530336579435,6.221563871592394e-07,0
0.15108560153798137,25.380744326577155,1.8329807108324356,0.0006287237733511456,4.3700216633692994e-07,0
0.15108560153798137,12.266333527055153,2.636650898730358,0.0013008939964355257,2.87401710876516e-07,0
0.15108560153798137,7.554198607419053,3.359818286283788,0.002112343624670993,2.3364881713658713e-07,0
0.15108560153798137,5.928232364393455,3.79269019073225,0.0026916972088417064,2.1510087821364648e-07,0
0.15108560153798137,2.865072990098495,5.455594781168517,0.005569447011980103,1.855e-07,0
0.15108560153798137,1.3846696695182532,7.847599703514611,0.01152388845414107,1.855e-07,0
0.15108560153798137,0.6692011514901436,11.288378916846883,0.023844420845951397,1.855e-07,0
0.15108560153798137,0.525162267603207,12.742749857031322,0.03038431732003617,1.855e-07,0
0.15108560153798137,0.32342023458653973,16.23776739188721,0.04933726166961534,1.855e-07,0
0.15108560153798137,0.15630673861862038,23.357214690901213,0.10208540910253258,1.855e-07,0
0.15108560153798137,0.075541954833738,33.59818286283781,0.2112285229097732,1.855e-07,0
0.15108560153798137,0.03650889926812743,48.32930238571752,0.43706057118775815,1.855e-07,0
0.15108560153798137,0.03650889926812743,48.32930238571752,0.43706057118775815,1.855e-07,0
0.15108560153798137,0.017644496153114145,69.51927961775606,0.9043380827086739,1.855e-07,0
0.15108560153798137,0.008527461842526661,100.0,1.8711995180334973,1.855e-07,0
0.15108560153798137,0.0025380723170310483,183.29807108324374,6.286887408029504,1.855e-07,0
0.15108560153798137,0.00017644495800296252,695.192796177562,90.43368738691416,1.855e-07,0
