#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) 

0.09,0.505078256571029,16.23776739188721,74.21858397770703
0.09,0.24412594039145816,23.357214690901213,153.70398029151877
0.09,0.11795395172830796,33.59818286283781,317.1328687603651
0.09,0.057010161211880725,48.32930238571752,656.0755049401272
0.09,0.057010161211880725,48.32930238571752,656.0755049401272
0.09,0.027555651301919958,69.51927961775606,1357.4479672597845
0.09,0.01331927932553802,100.0,2808.869116978276
0.09,0.003962975821990382,183.29807108324374,9439.556478237895
0.09,0.0002754781218430469,695.192796177562,135740.47253405026
0.09,1.9150928737241543e-05,2636.6508987303664,1952608.3738627865
0.09,1.3313804953934256e-06,10000.0,28092631.73065799
0.1,9723095363698234.0,1e-07,3.4207212077385183e-15
0.1,675942585339043.4,3.792690190732254e-07,4.920536039134721e-14
0.1,46991041595733.99,1.438449888287663e-06,7.077944515808748e-13
0.1,3266783360223.4478,5.455594781168514e-06,1.018126849807134e-11
0.1,227104425870.0083,2.06913808111479e-05,1.4645244533677377e-10
0.1,15788136084.48948,7.847599703514623e-05,2.1066450363412025e-09
0.1,1097579847.1032617,0.00029763514416313193,3.030303317183132e-08
0.1,76302960.29603486,0.0011288378916846883,4.358939468004769e-07
0.1,5304526.834924113,0.004281332398719396,6.270115989251883e-06
0.1,368766.88669038395,0.01623776739188724,9.01924761217233e-05
0.1,25636.410623980642,0.06158482110660267,0.0012973735055984035
0.1,9723.097781561348,0.1,0.003420720711947554
0.1,4699.106497941469,0.14384498882876628,0.007077942396568865
0.1,2271.0464961440916,0.20691380811147897,0.014645235490612545
0.1,1782.226824061034,0.23357214690901212,0.01866205411074101
0.1,1097.5819621706066,0.29763514416313175,0.03030299472096794
0.1,530.4546584128518,0.42813323987193935,0.06270099761745916
0.1,256.365907848498,0.6158482110660264,0.12973668310782965
0.1,123.90065395779155,0.8858667904100825,0.26844179143117036
0.1,123.9006539577913,0.8858667904100832,0.2684417914311708
0.1,59.88106356057457,1.2742749857031335,0.5554385325331884
0.1,28.940803302860978,1.8329807108324356,1.1492670521374968
0.1,13.965072249132763,2.636650898730358,2.377988961008815
0.1,8.600217456497456,3.359818286283788,3.8614001213983506
0.1,6.749041149152958,3.79269019073225,4.920595712611653
0.1,3.2616672922641414,5.455594781168517,10.182902694209917
0.1,1.5763102447898814,7.847599703514611,21.07655626049783
0.1,0.7618266206554799,11.288378916846883,43.633075256874996
0.1,0.5978582744011087,12.742749857031322,55.612695558285445
0.1,0.3682047217606041,16.23776739188721,90.3476523368303
0.1,0.17796910452722325,23.357214690901213,187.10669255474232
0.1,0.08598905296076409,33.59818286283781,386.05169535367764
0.1,0.041560708367085364,48.32930238571752,798.6528231910935
0.1,0.041560708367085364,48.32930238571752,798.6528231910935
0.1,0.020088215340308337,69.51927961775606,1652.4464687733994
0.1,0.009709825058237984,100.0,3419.2882272806346
0.1,0.0028890302797437628,183.29807108324374,11490.946353353747
0.1,0.00020082500251306437,695.192796177562,165239.382958682
0.1,1.3961127964592734e-05,2636.6508987303664,2376946.218277726
0.1,9.705833981194338e-07,10000.0,34197679.19030175
0.11,7303928824687874.0,1e-07,4.0843182648806205e-15
0.11,507763870271663.44,3.792690190732254e-07,5.8750871518488e-14
0.11,35299378477209.85,1.438449888287663e-06,8.451018457257181e-13
0.11,2453987362690.1597,5.455594781168514e-06,1.2156366555758534e-11
0.11,170599433645.29843,2.06913808111479e-05,1.748632411411469e-10
0.11,11859949730.220139,7.847599703514623e-05,2.5153200968508105e-09
0.11,824495161.5495467,0.00029763514416313193,3.618161912318427e-08
0.11,57318309.681090206,0.0011288378916846883,5.20454459849152e-07
0.11,3984727.5997713166,0.004281332398719396,7.486476594434897e-06
0.11,277015.3940224341,0.01623776739188724,0.00010768921382584725
0.11,19257.912374410917,0.06158482110660267,0.0015490552966726332
0.11,7303.930641383028,0.1,0.004084317672909523
0.11,3529.939604687735,0.14384498882876628,0.008451015926898921
0.11,1705.9960175906401,0.20691380811147897,0.017486313316755705
0.11,1338.7977170998545,0.23357214690901212,0.02228236790892443
0.11,824.4967507396416,0.29763514416313175,0.03618157321311033
0.11,398.47424386778005,0.42813323987193935,0.07486457218901203
