#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) 

0.02,1256.874694988034,48.32930238571752,1.115705856989035e-07
0.02,607.4908818670101,69.51927961775606,2.310607154608321e-07
0.02,293.53030094423957,100.0,4.768595781279269e-07
0.02,87.36861701616151,183.29807108324374,1.6028316954213246e-06
0.02,6.074105147167176,695.192796177562,2.3063258806373582e-05
0.02,0.42224411215782603,2636.6508987303664,0.0003314899228468526
0.02,0.029358007648169537,10000.0,0.004775546505300964
0.03,8.710518324691164e+19,1e-07,4.763916841869488e-25
0.03,6.055489590297915e+18,3.792690190732254e-07,6.852655648994473e-24
0.03,4.2097327405033286e+17,1.438449888287663e-06,9.857201752773502e-23
0.03,2.926575875030743e+16,5.455594781168514e-06,1.417909076009921e-21
0.03,2034534465788429.0,2.06913808111479e-05,2.039591151987326e-20
0.03,141439370419129.06,7.847599703514623e-05,2.9338496647236476e-19
0.03,9832763141148.436,0.00029763514416313193,4.220195722386703e-18
0.03,871051832492.3883,0.001,4.7639168406724013e-17
0.03,683566610246.3267,0.0011288378916846883,6.070540063612643e-17
0.03,598106734727.0768,0.0012067926406393288,6.937923037060016e-17
0.03,410689298596.9417,0.0014563484775012444,1.0104033650364596e-16
0.03,281999332544.5199,0.0017575106248547913,1.4714994019789727e-16
0.03,193634515990.9844,0.0021209508879201904,2.143015912960856e-16
0.03,132958916765.4851,0.002559547922699536,3.120977960500386e-16
0.03,91296086637.35591,0.0030888435964774815,4.545231497707217e-16
0.03,62688352450.27071,0.003727593720314938,6.619440964403612e-16
0.03,47521058336.7964,0.004281332398719396,8.732167639297068e-16
0.03,43044884812.52525,0.004498432668969444,9.640212755250335e-16
0.03,29556720447.197075,0.005428675439323859,1.403950913683073e-15
0.03,20295087964.52918,0.006551285568595509,2.0446417688529616e-15
0.03,13935598717.468988,0.0079060432109077,2.9777109128056133e-15
0.03,9568862771.183306,0.009540954763499945,4.336584724173897e-15
0.03,6570448577.263689,0.01151395399326447,6.3155784972882286e-15
0.03,4511590934.215791,0.013894954943731374,9.197682996495153e-15
0.03,3303629764.383156,0.01623776739188724,1.256078482641337e-14
0.03,3097878711.6621943,0.016768329368110076,1.339503135220074e-14
0.03,2127154846.9823973,0.020235896477251564,1.9507832944346456e-14
0.03,1460608426.6322176,0.02442053094548651,2.8410201637950306e-14
0.03,1002925097.1720655,0.029470517025518096,4.137515154424634e-14
0.03,688657367.9279855,0.03556480306223128,6.025663432821404e-14
0.03,472865795.0593548,0.04291934260128776,8.775464893733011e-14
0.03,324692761.41255575,0.0517947467923121,1.2780133410873545e-13
0.03,229665988.5829547,0.06158482110660267,1.8068049762018412e-13
0.03,222949919.88516104,0.0625055192527397,1.8612325558469595e-13
0.03,153088316.51485974,0.07543120063354615,2.710603000053402e-13
0.03,105117929.00488622,0.09102981779915217,3.947582965042436e-13
0.03,87105220.34289421,0.1,4.763915025008997e-13
0.03,72179120.26127961,0.10985411419875583,5.749059750606579e-13
0.03,49561728.615828305,0.13257113655901082,8.372648449857656e-13
0.03,42097377.29827643,0.14384498882876628,9.857231638528866e-13
0.03,34031527.25247507,0.15998587196060574,1.219354348052856e-12
0.03,23367738.324560724,0.19306977288832497,1.7758208956693928e-12
0.03,20345417.466182075,0.20691380811147897,2.0396324129470718e-12
0.03,16045467.505624555,0.2329951810515372,2.586262939589502e-12
0.03,15966295.58903538,0.23357214690901212,2.5990884280075692e-12
0.03,11017647.959677601,0.2811768697974228,3.766642228393322e-12
0.03,9832873.544144956,0.29763514416313175,4.220570006835764e-12
0.03,7565312.324590853,0.3393221771895326,5.485940031261328e-12
0.03,5194782.072065864,0.4094915062380423,7.990501689664267e-12
0.03,4752270.292628876,0.42813323987193935,8.73497051646196e-12
0.03,3567072.7120164456,0.49417133613238334,1.1639683802274939e-11
0.03,2449420.080731787,0.5963623316594643,1.695817743167008e-11
0.03,2296889.3464105227,0.6158482110660264,1.8086117241394648e-11
0.03,1681996.1057518604,0.7196856730011514,2.4713044897344296e-11
0.03,1155054.346453602,0.868511373751352,3.602757258928566e-11
0.03,1110253.8565442176,0.8858667904100825,3.748690401619927e-11
0.03,1110253.8565442157,0.8858667904100832,3.748690401618043e-11
0.03,793236.9872095379,1.0481131341546852,5.2550247010481014e-11
0.03,544799.1579977813,1.2648552168552958,7.670652644493512e-11
0.03,536780.1947864925,1.2742749857031335,7.786173221561311e-11
0.03,373964.6969314362,1.5264179671752318,1.1134733282961248e-10
0.03,259260.3360642246,1.8329807108324356,1.623447226675155e-10
0.03,256696.50320110642,1.8420699693267144,1.63879270524505e-10
0.03,176322.33838361103,2.2229964825261934,2.363326349833302e-10
0.03,125330.59227957744,2.636650898730358,3.321558408635495e-10
0.03,121067.44498863738,2.6826957952797246,3.439132859484383e-10
0.03,83144.21732403227,3.2374575428176433,5.014674127513095e-10
0.03,77124.47697555038,3.359818286283788,5.417616902439327e-10
0.03,60553.773327155264,3.79269019073225,6.847462822638699e-10
0.03,57067.72158680894,3.906939937054613,7.271763992916475e-10
0.03,39141.776497968254,4.714866363457389,1.0608261585979417e-09
0.03,29240.89479790963,5.455594781168517,1.4244474613482778e-09
0.03,26889.23540050308,5.689866029018293,1.553860738066892e-09
0.03,18455.544639927663,6.866488450042998,2.2512418709673625e-09
0.03,14130.385556364225,7.847599703514611,2.9460007011136157e-09
0.03,12672.196416443909,8.286427728546842,3.280568568508173e-09
0.03,8700.482617290023,10.0,4.770970383077387e-09
0.03,6827.376309958387,11.288378916846883,6.075231202621088e-09
0.03,5358.243364626899,12.742749857031322,7.749995398289351e-09
0.03,3300.413175346347,16.23776739188721,1.2605275537861547e-08
0.03,1594.4474035626345,23.357214690901213,2.5975463414524535e-08
0.03,770.5045530415734,33.59818286283781,5.369555311934498e-08
0.03,372.41885741711366,48.32930238571752,1.112776966420657e-07
0.03,372.41885741711366,48.32930238571752,1.112776966420657e-07
0.03,180.00290010923007,69.51927961775606,2.3045414738915215e-07
0.03,86.97461868569904,100.0,4.7560775219901347e-07
0.03,25.887795974827416,183.29807108324374,1.5986240284936942e-06
0.03,1.7997904405851999,695.192796177562,2.3002714388890337e-05
0.03,0.1251132182346031,2636.6508987303664,0.00033061971346105747
0.03,0.008698938426246085,10000.0,0.004763009999347708
0.04,3.6747886965966307e+19,1e-07,4.746347060359845e-25
0.04,2.5546866293486986e+18,3.792690190732254e-07,6.827382398744706e-24
0.04,1.7759997412143533e+17,1.438449888287663e-06,9.820847448775045e-23
0.04,1.2346622261054338e+16,5.455594781168514e-06,1.412679691557388e-21
0.04,858328285301055.2,2.06913808111479e-05,2.032068944505771e-20
0.04,59670364069682.12,7.847599703514623e-05,2.9230293462121466e-19
0.04,4148240724662.661,0.00029763514416313193,4.204631236432921e-18
0.04,367478869669.48334,0.001,4.746347059167174e-17
0.04,288382706868.728,0.0011288378916846883,6.048151330537833e-17
0.04,252328941425.1163,0.0012067926406393288,6.912335312517783e-17
0.04,173261376193.7948,0.0014563484775012444,1.0066769006690984e-16
0.04,118969723850.40672,0.0017575106248547913,1.4660723712724095e-16
0.04,81690423475.44539,0.0021209508879201904,2.1351122650567856e-16
0.04,56092634930.41095,0.002559547922699536,3.1094674949144913e-16
0.04,38515942991.30032,0.0030888435964774815,4.528468248688344e-16
0.04,26446927772.31576,0.003727593720314938,6.595027832243457e-16
0.04,20048158044.89794,0.004281332398719396,8.699962568843357e-16
0.04,18159752411.86346,0.004498432668969444,9.6046587274538e-16
0.04,12469373022.264654,0.005428675439323859,1.398773008269847e-15
0.04,8562080586.765783,0.006551285568595509,2.0371009342127544e-15
0.04,5879142748.844053,0.0079060432109077,2.9667288298109947e-15
0.04,4036906581.2275124,0.009540954763499945,4.320590984436012e-15
0.04,2771937244.523749,0.01151395399326447,6.29228603900493e-15
0.04,1903347510.531997,0.013894954943731374,9.163761060825942e-15
0.04,1393733514.2850227,0.01623776739188724,1.251445944914186e-14
0.04,1306931372.9350023,0.016768329368110076,1.3345629193853952e-14
0.04,897402920.9564596,0.020235896477251564,1.9435886188360628e-14
0.04,616200682.4724432,0.02442053094548651,2.830542209372388e-14
0.04,423113490.295544,0.029470517025518096,4.1222556023230585e-14
0.04,290530392.931932,0.03556480306223128,6.003440209058377e-14
0.04,199492362.44539407,0.04291934260128776,8.74310013885876e-14
0.04,136981204.22420684,0.0517947467923121,1.2732999055017529e-13
0.04,96891361.38725789,0.06158482110660267,1.8001413064283897e-13
0.04,94057990.00613688,0.0625055192527397,1.8543681519477447e-13
0.04,64584815.06787291,0.07543120063354615,2.7006060366195003e-13
0.04,44347094.278434895,0.09102981779915217,3.933023901043376e-13
0.04,36747902.62134333,0.1,4.74634525020011e-13
0.04,30450887.70046172,0.10985411419875583,5.727856667711372e-13
0.04,20909074.911105074,0.13257113655901082,8.34176932060247e-13
0.04,17760018.469249263,0.14384498882876628,9.82087722430888e-13
0.04,14357202.074008245,0.15998587196060574,1.2148572524508022e-12
0.04,9858368.648571154,0.19306977288832497,1.7692714981520077e-12
0.04,8583313.582547868,0.20691380811147897,2.032110053291146e-12
0.04,6769253.05228376,0.2329951810515372,2.5767245542055035e-12
0.04,6735852.047558927,0.23357214690901212,2.589502740994105e-12
0.04,4648119.302392648,0.2811768697974228,3.752750491158066e-12
0.04,4148287.3228702317,0.29763514416313175,4.205004140485092e-12
0.04,3191649.8422775394,0.3393221771895326,5.465707359087639e-12
0.04,2191571.844941903,0.4094915062380423,7.961031954255381e-12
0.04,2004885.2195844827,0.42813323987193935,8.702755108728863e-12
0.04,1504874.7193023125,0.49417133613238334,1.1596755533785885e-11
0.04,1033360.0472153773,0.5963623316594643,1.6895634049372237e-11
0.04,969010.465898892,0.6158482110660264,1.801941390906604e-11
0.04,709599.6486548018,0.7196856730011514,2.462190082122018e-11
0.04,487293.75496496214,0.868511373751352,3.589469945154463e-11
0.04,468393.3495194585,0.8858667904100825,3.734864872440893e-11
0.04,468393.3495194577,0.8858667904100832,3.734864872439016e-11
0.04,334650.4517815722,1.0481131341546852,5.235643666724892e-11
0.04,229839.64133058774,1.2648552168552958,7.642362542992239e-11
0.04,226456.60568396308,1.2742749857031335,7.757457069109461e-11
0.04,157768.04498149696,1.5264179671752318,1.1093667320341928e-10
0.04,109376.67195763657,1.8329807108324356,1.617459797840456e-10
0.04,108295.04041908462,1.8420699693267144,1.6327486808158887e-10
0.04,74386.78350935751,2.2229964825261934,2.354610175940926e-10
0.04,52874.408441560845,2.636650898730358,3.3093081831491196e-10
0.04,51075.874397181,2.6826957952797246,3.4264490081642455e-10
0.04,35076.84415681013,3.2374575428176433,4.996179529121264e-10
0.04,32537.241869140365,3.359818286283788,5.397636212507417e-10
0.04,25546.391908493984,3.79269019073225,6.822208724029801e-10
0.04,24075.699146740848,3.906939937054613,7.244945030960143e-10
0.04,16513.111573623977,4.714866363457389,1.0569137301393951e-09
0.04,12336.134425982918,5.455594781168517,1.4191939627044951e-09
0.04,11344.018978225056,5.689866029018293,1.5481299508658431e-09
0.04,7786.015442708474,6.866488450042998,2.2429390753663515e-09
0.04,5961.319922882246,7.847599703514611,2.935135568416315e-09
0.04,5346.139556293342,8.286427728546842,3.268469517477411e-09
0.04,3670.554846373496,10.0,4.7533745874323165e-09
